season,game_type,team_id,team_abbrev,zone,goals,sog,sh_pct
2026,2,13,FLA,L Circle,26,238,0.1092
2026,2,13,FLA,L Corner,1,4,0.25
2026,2,13,FLA,L Net Side,5,56,0.0893
2026,2,13,FLA,L Point,2,144,0.0139
2026,2,13,FLA,Low Slot,113,575,0.1965
2026,2,13,FLA,Offensive Neutral Zone,4,44,0.0909
2026,2,13,FLA,Outside L,7,160,0.0438
2026,2,13,FLA,Outside R,6,133,0.0451
2026,2,13,FLA,R Circle,16,201,0.0796
2026,2,13,FLA,R Corner,1,2,0.5
2026,2,13,FLA,R Net Side,5,60,0.0833
2026,2,13,FLA,R Point,3,133,0.0226
2026,2,52,WPG,Behind the Net,4,21,0.1905
2026,2,52,WPG,Beyond Red Line,5,62,0.0806
2026,2,52,WPG,Center Point,9,187,0.0481
2026,2,52,WPG,Crease,24,77,0.3117
2026,2,52,WPG,High Slot,25,184,0.1359
2026,2,52,WPG,L Circle,25,228,0.1096
2026,2,52,WPG,L Corner,0,8,0
2026,2,52,WPG,L Net Side,3,52,0.0577
2026,2,52,WPG,L Point,3,159,0.0189
2026,2,52,WPG,Low Slot,96,522,0.1839
2026,2,52,WPG,Offensive Neutral Zone,1,38,0.0263
2026,2,52,WPG,Outside L,5,122,0.041
2026,2,52,WPG,Outside R,3,111,0.027
2026,2,52,WPG,R Circle,19,176,0.108
2026,2,52,WPG,R Corner,0,2,0
2026,2,52,WPG,R Net Side,3,53,0.0566
2026,2,52,WPG,R Point,4,160,0.025
2026,2,55,SEA,Behind the Net,0,15,0
2026,2,55,SEA,Beyond Red Line,6,52,0.1154
2026,2,55,SEA,Center Point,6,190,0.0316
2026,2,55,SEA,Crease,18,66,0.2727
2026,2,55,SEA,High Slot,27,198,0.1364
2026,2,55,SEA,L Circle,16,195,0.0821
2026,2,55,SEA,L Corner,0,3,0
2026,2,55,SEA,L Net Side,3,54,0.0556
2026,2,55,SEA,L Point,4,114,0.0351
2026,2,55,SEA,Low Slot,91,453,0.2009
2026,2,55,SEA,Offensive Neutral Zone,0,45,0
